Genome,threads,dist,n_candidate_PAM_fd0,total_PAM_sites,percent_PAM_consider@before500_into500,n_candidate_PAM@before500_into500,total_locus@fd0,target_locus@fd0,missed_locus@fd0,missed_locus%@fd0,target_coverage%@fd0,mean_target@fd0,std_target@fd0,median_target@fd0,min_target@fd0,max_target@fd0,n_agg@fd0,n_cgg@fd0,n_ggg@fd0,n_tgg@fd0
Pseudomonas_aeruginosa_PAO1_107.gbk,32,0,161535,1171798,25.46,298294,5584,5568,16,0.29%,99.71%,29.01,8.64,29,1,76,28564,66273,32068,34630
Pseudomonas_aeruginosa_PAO1_107.gbk,32,1,161535,1171798,25.46,298294,5584,5568,16,0.29%,99.71%,29.01,8.64,29,1,76,28564,66273,32068,34630
Pseudomonas_aeruginosa_PAO1_107.gbk,32,2,161126,1171798,25.4,297656,5584,5563,21,0.38%,99.62%,28.96,8.63,28,2,76,28484,66099,32003,34540
Pseudomonas_aeruginosa_PAO1_107.gbk,32,3,157822,1171798,24.98,292745,5584,5565,19,0.34%,99.66%,28.36,8.67,28,1,75,27832,64787,31410,33793
Pseudomonas_aeruginosa_PAO1_107.gbk,32,4,136024,1171798,22.17,259792,5584,5566,18,0.32%,99.68%,24.44,8.54,24,1,74,23487,56150,27356,29031
Pseudomonas_aeruginosa_PAO1_107.gbk,32,5,88006,1171798,15.52,181850,5584,5562,22,0.39%,99.61%,15.82,7.51,15,1,58,14350,36518,18228,18910
Burkholderia_thailandensis_E264_ATCC_700388_133.gbk,32,0,128778,923228,25.97,239781,5633,5505,128,2.27%,97.73%,23.39,9.49,22,1,65,16856,68843,23428,19651
Burkholderia_thailandensis_E264_ATCC_700388_133.gbk,32,1,128778,923228,25.97,239781,5633,5505,128,2.27%,97.73%,23.39,9.49,22,1,65,16856,68843,23428,19651
Burkholderia_thailandensis_E264_ATCC_700388_133.gbk,32,2,128395,923228,25.9,239142,5633,5500,133,2.36%,97.64%,23.34,9.48,22,1,65,16807,68630,23369,19589
Burkholderia_thailandensis_E264_ATCC_700388_133.gbk,32,3,125263,923228,25.35,234046,5633,5498,135,2.40%,97.60%,22.78,9.5,22,1,65,16414,66759,22852,19238
Burkholderia_thailandensis_E264_ATCC_700388_133.gbk,32,4,107299,923228,22.12,204175,5633,5497,136,2.41%,97.59%,19.52,9.36,18,1,63,14182,56380,19716,17021
Burkholderia_thailandensis_E264_ATCC_700388_133.gbk,32,5,71605,923228,15.45,142594,5633,5460,173,3.07%,96.93%,13.11,8.12,12,1,59,9524,36560,13355,12166
Escherichia.coli_str_K-12_substr_MG1655.gbk,32,0,169082,542072,52.08,282293,4357,4289,68,1.56%,98.44%,39.42,12.36,42,1,82,29850,53964,30284,54984
Escherichia.coli_str_K-12_substr_MG1655.gbk,32,1,169082,542072,52.08,282293,4357,4289,68,1.56%,98.44%,39.42,12.36,42,1,82,29850,53964,30284,54984
Escherichia.coli_str_K-12_substr_MG1655.gbk,32,2,168901,542072,51.99,281836,4357,4286,71,1.63%,98.37%,39.41,12.36,42,1,82,29821,53900,30254,54926
Escherichia.coli_str_K-12_substr_MG1655.gbk,32,3,168401,542072,51.83,280942,4357,4285,72,1.65%,98.35%,39.3,12.35,41,1,82,29730,53753,30177,54741
Escherichia.coli_str_K-12_substr_MG1655.gbk,32,4,165005,542072,50.83,275511,4357,4285,72,1.65%,98.35%,38.51,12.13,41,1,81,29116,52658,29622,53609
Escherichia.coli_str_K-12_substr_MG1655.gbk,32,5,144356,542072,44.8,242833,4357,4282,75,1.72%,98.28%,33.71,10.75,35,1,71,25436,46196,26230,46494
